step,eval_return_mean,eval_return_std,loss,expert_reward_mean,expert_term,replay_term,regularizer,q_mean,q_abs_max,seed,dataset_size,algorithm,env_id
1,9.6,0.4898979485566356,0.10421563684940338,-0.09382598847150803,0.09382598847150803,0.00666055828332901,0.0037290893960744143,-0.003975076600909233,0.11338163167238235,2,5,iqlearn,CartPole-v1
500,298.1,202.0299235261945,-37.27736282348633,0.0034177452325820923,-0.0034177452325820923,-40.02006530761719,2.746121883392334,-0.2493760883808136,10.666175842285156,2,5,iqlearn,CartPole-v1
1000,73.8,15.490642336585015,-57.978111267089844,0.07211616635322571,-0.07211616635322571,-61.703826904296875,3.797832489013672,-0.4398333728313446,15.465728759765625,2,5,iqlearn,CartPole-v1
1500,88.0,10.890362712049585,-103.31436157226562,-0.25789397954940796,0.25789397954940796,-108.95508575439453,5.382823944091797,-0.9706713557243347,23.48321533203125,2,5,iqlearn,CartPole-v1
2000,370.4,173.0758215349562,-89.20870971679688,0.17393305897712708,-0.17393305897712708,-93.92617797851562,4.891399383544922,-1.1623529195785522,31.222352981567383,2,5,iqlearn,CartPole-v1
2500,75.6,14.079772725438433,-87.64613342285156,-0.016777992248535156,0.016777992248535156,-92.70389556884766,5.040981769561768,0.305538147687912,62.44677734375,2,5,iqlearn,CartPole-v1
3000,57.4,5.986651818838306,-239.87240600585938,0.5215497612953186,-0.5215497612953186,-247.078369140625,7.727509498596191,0.5275247097015381,90.69258880615234,2,5,iqlearn,CartPole-v1
3500,47.5,10.229858259037611,-303.033203125,-0.3645632863044739,0.3645632863044739,-313.0957336425781,9.697973251342773,2.5993447303771973,80.34461975097656,2,5,iqlearn,CartPole-v1
4000,29.4,9.350935782048767,-150.645263671875,0.2198239266872406,-0.2198239266872406,-163.84446716308594,13.419023513793945,4.498647212982178,132.6366424560547,2,5,iqlearn,CartPole-v1
4500,43.5,13.192801067248759,-172.5795440673828,0.5318335890769958,-0.5318335890769958,-182.39569091796875,10.347970962524414,8.136292457580566,99.70155334472656,2,5,iqlearn,CartPole-v1
5000,41.5,11.298229949863828,-190.75131225585938,1.9412394762039185,-1.9412394762039185,-212.0279998779297,23.217920303344727,17.13663101196289,166.9184112548828,2,5,iqlearn,CartPole-v1
5500,26.6,7.323933369440223,-172.22178649902344,-1.0139027833938599,1.0139027833938599,-210.2214813232422,36.98579406738281,17.108882904052734,140.19215393066406,2,5,iqlearn,CartPole-v1
6000,23.6,5.8,-618.0670166015625,-1.4734777212142944,1.4734777212142944,-652.776611328125,33.236167907714844,19.656490325927734,174.09829711914062,2,5,iqlearn,CartPole-v1
